Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Poissons,saumon,R,2008,7,2,µg/kg PF,HAP,PHE,1.501,1.501,1.501,1.501
Poissons,saumon,R,2008,6,1,µg/kg PF,HAP,PHE,2.385,2.385,2.385,2.385
Poissons,saumon,R,2009,6,2,µg/kg PF,HAP,PHE,2.442,2.442,2.442,2.442
Poissons,saumon,R,2008,34,2,µg/kg PF,HAP,PHE,1.758,1.758,1.758,1.758
Poissons,saumon,R,2008,1,2,µg/kg PF,HAP,PHE,"< 0,76",0,0.76,0.38
Poissons,saumon,R,2008,8,2,µg/kg PF,HAP,PHE,11.500,11.500,11.500,11.500
Poissons,thon,R,2008,8,2,µg/kg PF,HAP,PHE,"< 0,302",0,0.302,0.151
Poissons,thon,R,2008,8,1,µg/kg PF,HAP,PHE,1.434,1.434,1.434,1.434
Charcuterie,merguez,R,2008,2,1,µg/kg PF,HAP,PHE,3.089,3.089,3.089,3.089
Charcuterie,merguez,R,2007,7,1,µg/kg PF,HAP,PHE,1.264,1.264,1.264,1.264
Charcuterie,merguez,R,2008,5,1,µg/kg PF,HAP,PHE,2.226,2.226,2.226,2.226
Charcuterie,merguez,R,2008,2,2,µg/kg PF,HAP,PHE,2.610,2.610,2.610,2.610
Charcuterie,merguez,R,2009,5,2,µg/kg PF,HAP,PHE,1.227,1.227,1.227,1.227
Charcuterie,merguez,R,2008,7,2,µg/kg PF,HAP,PHE,0.992,0.992,0.992,0.992
Charcuterie,saucisse de strasbourg,R,2008,2,1,µg/kg PF,HAP,PHE,1.580,1.580,1.580,1.580
Charcuterie,saucisse de strasbourg,R,2007,34,1,µg/kg PF,HAP,PHE,2.312,2.312,2.312,2.312
Charcuterie,saucisse de strasbourg,R,2008,5,1,µg/kg PF,HAP,PHE,2.437,2.437,2.437,2.437
Charcuterie,saucisse de strasbourg,R,2008,8,1,µg/kg PF,HAP,PHE,3.961,3.961,3.961,3.961
Charcuterie,saucisse de strasbourg,R,2008,2,2,µg/kg PF,HAP,PHE,1.076,1.076,1.076,1.076
Charcuterie,saucisse de strasbourg,R,2009,5,2,µg/kg PF,HAP,PHE,1.735,1.735,1.735,1.735
Charcuterie,saucisse de strasbourg,R,2008,34,2,µg/kg PF,HAP,PHE,1.311,1.311,1.311,1.311
Charcuterie,saucisse de strasbourg,R,2008,8,2,µg/kg PF,HAP,PHE,4.669,4.669,4.669,4.669
Volaille et gibier,dinde rôtie,R,2008,9,2,µg/kg PF,HAP,PHE,2.193,2.193,2.193,2.193
Volaille et gibier,dinde rôtie,R,2008,9,1,µg/kg PF,HAP,PHE,0.994,0.994,0.994,0.994
Volaille et gibier,dinde escalope,R,2007,1,1,µg/kg PF,HAP,PHE,0.944,0.944,0.944,0.944
Volaille et gibier,dinde escalope,R,2007,7,1,µg/kg PF,HAP,PHE,"< 1,115",0,1.115,0.5575
Volaille et gibier,dinde escalope,R,2007,34,1,µg/kg PF,HAP,PHE,1.783,1.783,1.783,1.783
Volaille et gibier,dinde escalope,R,2008,2,1,µg/kg PF,HAP,PHE,1.029,1.029,1.029,1.029
Volaille et gibier,dinde escalope,R,2008,9,1,µg/kg PF,HAP,PHE,0.568,0.568,0.568,0.568
Volaille et gibier,dinde escalope,R,2008,8,1,µg/kg PF,HAP,PHE,0.703,0.703,0.703,0.703
Volaille et gibier,dinde escalope,R,2008,9,2,µg/kg PF,HAP,PHE,0.709,0.709,0.709,0.709
Volaille et gibier,dinde escalope,R,2009,5,2,µg/kg PF,HAP,PHE,1.586,1.586,1.586,1.586
Volaille et gibier,dinde escalope,R,2008,2,2,µg/kg PF,HAP,PHE,1.453,1.453,1.453,1.453
Volaille et gibier,dinde escalope,R,2009,6,2,µg/kg PF,HAP,PHE,"< 0,866",0,0.866,0.433
Volaille et gibier,dinde escalope,R,2008,34,2,µg/kg PF,HAP,PHE,0.425,0.425,0.425,0.425
Volaille et gibier,dinde escalope,R,2008,5,1,µg/kg PF,HAP,PHE,1.945,1.945,1.945,1.945
Volaille et gibier,dinde escalope,R,2008,7,2,µg/kg PF,HAP,PHE,,,,
Volaille et gibier,dinde escalope,R,2008,6,1,µg/kg PF,HAP,PHE,,,,
Volaille et gibier,dinde escalope,R,2008,1,2,µg/kg PF,HAP,PHE,"< 2,262",0,2.262,1.131
Volaille et gibier,dinde escalope,R,2008,8,2,µg/kg PF,HAP,PHE,"< 4,238",0,4.238,2.119
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2007,99,1,µg/kg PF,HAP,PHE,0.572,0.572,0.572,0.572
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2008,99,2,µg/kg PF,HAP,PHE,"< 1,231",0,1.231,0.6155
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2007,99,1,µg/kg PF,HAP,PHE,0.493,0.493,0.493,0.493
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2008,99,2,µg/kg PF,HAP,PHE,"< 0,742",0,0.742,0.371
"Entremets, crèmes desserts et laits gélifiés",crème caramel,N,2007,99,1,µg/kg PF,HAP,PHE,"< 0,558",0,0.558,0.279
"Entremets, crèmes desserts et laits gélifiés",crème caramel,N,2008,99,2,µg/kg PF,HAP,PHE,"< 0,155",0,0.155,0.0775
