Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Poissons,lieu ou colin,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0061,0.0061,0.0061,0.0061
Poissons,poisson pané,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.0167,0.0167,0.0167,0.0167
Poissons,poisson pané,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0101,0.0101,0.0101,0.0101
Poissons,poisson pané,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.0023,0.0023,0.0023,0.0023
Poissons,poisson pané,R,2008,2,1,ng/g,Bromés,HBCD alpha,0.0229,0.0229,0.0229,0.0229
Poissons,poisson pané,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.0377,0.0377,0.0377,0.0377
Poissons,poisson pané,R,2009,6,2,ng/g,Bromés,HBCD alpha,0.0113,0.0113,0.0113,0.0113
Poissons,poisson pané,R,2008,2,2,ng/g,Bromés,HBCD alpha,0.0278,0.0278,0.0278,0.0278
Poissons,poisson pané,R,2008,9,1,ng/g,Bromés,HBCD alpha,"< 0,013",0,0.013,0.0065
Poissons,poisson pané,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.0087,0.0087,0.0087,0.0087
Poissons,poisson pané,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0024,0.0024,0.0024,0.0024
Poissons,poisson pané,R,2008,6,1,ng/g,Bromés,HBCD alpha,0.0022,0.0022,0.0022,0.0022
Poissons,poisson pané,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.0055,0.0055,0.0055,0.0055
Poissons,poisson pané,R,2008,1,2,ng/g,Bromés,HBCD alpha,"< 0,0098",0,0.0098,0.0049
Poissons,poisson pané,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0420,0.0420,0.0420,0.0420
Poissons,poisson pané,R,2008,8,2,ng/g,Bromés,HBCD alpha,0.0080,0.0080,0.0080,0.0080
Poissons,saumon fumé,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.1979,0.1979,0.1979,0.1979
Poissons,saumon fumé,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.2271,0.2271,0.2271,0.2271
Poissons,saumon,R,2008,2,1,ng/g,Bromés,HBCD alpha,0.0169,0.0169,0.0169,0.0169
Poissons,saumon,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.3526,0.3526,0.3526,0.3526
Poissons,saumon,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.4502,0.4502,0.4502,0.4502
Poissons,saumon,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.4837,0.4837,0.4837,0.4837
Poissons,saumon,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.3256,0.3256,0.3256,0.3256
Poissons,saumon,R,2008,9,1,ng/g,Bromés,HBCD alpha,0.3419,0.3419,0.3419,0.3419
Poissons,saumon,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.4762,0.4762,0.4762,0.4762
Poissons,saumon,R,2008,2,2,ng/g,Bromés,HBCD alpha,0.2841,0.2841,0.2841,0.2841
Poissons,saumon,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.2611,0.2611,0.2611,0.2611
Poissons,saumon,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.2897,0.2897,0.2897,0.2897
Poissons,saumon,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.4191,0.4191,0.4191,0.4191
Poissons,saumon,R,2008,6,1,ng/g,Bromés,HBCD alpha,0.0457,0.0457,0.0457,0.0457
Poissons,saumon,R,2009,6,2,ng/g,Bromés,HBCD alpha,0.2877,0.2877,0.2877,0.2877
Poissons,saumon,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.2643,0.2643,0.2643,0.2643
Poissons,saumon,R,2008,1,2,ng/g,Bromés,HBCD alpha,0.0043,0.0043,0.0043,0.0043
Poissons,saumon,R,2008,8,2,ng/g,Bromés,HBCD alpha,0.7130,0.7130,0.7130,0.7130
Poissons,thon,R,2008,8,2,ng/g,Bromés,HBCD alpha,0.0028,0.0028,0.0028,0.0028
Poissons,thon,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.3864,0.3864,0.3864,0.3864
Charcuterie,merguez,R,2008,2,1,ng/g,Bromés,HBCD alpha,0.0120,0.0120,0.0120,0.0120
