Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Poissons,saumon,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),17.31,0,,
Poissons,saumon,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),18.16,0,,
Poissons,saumon,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),16.2,0,,
Poissons,saumon,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),18.19,0,,
Poissons,saumon,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),17.01,0,,
Poissons,saumon,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),16.79,0,,
Poissons,saumon,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),17.18,0,,
Poissons,saumon,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),14.37,0,,
Poissons,saumon,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),17.93,0,,
Poissons,saumon,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),16.59,0,,
Poissons,saumon,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),11.25,0,,
Poissons,saumon,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),18.38,0,,
Poissons,thon,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),3.64,0,,
Poissons,thon,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),1.62,0,,
Charcuterie,merguez,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),24.26,0,,
Charcuterie,merguez,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),27.61,0,,
Charcuterie,merguez,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),22.88,0,,
Charcuterie,merguez,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),23.86,0,,
Charcuterie,merguez,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),18.64,0,,
Charcuterie,merguez,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),22.07,0,,
Charcuterie,saucisse de strasbourg,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),27.18,0,,
Charcuterie,saucisse de strasbourg,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),24.77,0,,
Charcuterie,saucisse de strasbourg,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),27.59,0,,
Charcuterie,saucisse de strasbourg,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),29.01,0,,
Charcuterie,saucisse de strasbourg,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),27.79,0,,
Charcuterie,saucisse de strasbourg,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),27.56,0,,
Charcuterie,saucisse de strasbourg,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),26.06,0,,
Charcuterie,saucisse de strasbourg,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),26.82,0,,
Volaille et gibier,dinde rôtie,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),6.94,0,,
Volaille et gibier,dinde rôtie,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),8.78,0,,
Volaille et gibier,dinde escalope,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),2.74,0,,
Volaille et gibier,dinde escalope,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),2.06,0,,
Volaille et gibier,dinde escalope,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),2.48,0,,
Volaille et gibier,dinde escalope,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),1.78,0,,
Volaille et gibier,dinde escalope,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),2.12,0,,
Volaille et gibier,dinde escalope,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),1.76,0,,
Volaille et gibier,dinde escalope,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),2.39,0,,
Volaille et gibier,dinde escalope,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),2.19,0,,
Volaille et gibier,dinde escalope,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),2.83,0,,
Volaille et gibier,dinde escalope,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),1.78,0,,
Volaille et gibier,dinde escalope,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),1.12,0,,
