Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2007,1,1,ng/g,Perfluorés,PFOS,"<0,031",0,0.031,0.0155
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,029",0,0.029,0.0145
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,5,1,ng/g,Perfluorés,PFOS,"<0,035",0,0.035,0.0175
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,019",0,0.019,0.0095
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,9,1,ng/g,Perfluorés,PFOS,"<0,022",0,0.022,0.011
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,018",0,0.018,0.009
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,9,2,ng/g,Perfluorés,PFOS,"<0,057",0,0.057,0.0285
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2009,6,2,ng/g,Perfluorés,PFOS,"<0,025",0,0.025,0.0125
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,1,2,ng/g,Perfluorés,PFOS,"<0,052",0,0.052,0.026
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,8,1,ng/g,Perfluorés,PFOS,"<0,151",0,0.151,0.0755
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,6,1,ng/g,Perfluorés,PFOS,"<0,057",0,0.057,0.0285
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,8,2,ng/g,Perfluorés,PFOS,"<0,019",0,0.019,0.0095
Pain et panification sèche,biscotte,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,189",0,0.189,0.0945
Pain et panification sèche,baguette,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,12",0,0.12,0.06
Pain et panification sèche,pain de campagne,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,067",0,0.067,0.0335
Céréales pour petit déjeuner,céréales au chocolat,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,052",0,0.052,0.026
Céréales pour petit déjeuner,muesli,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,048",0,0.048,0.024
Céréales pour petit déjeuner,pétales de maïs,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,026",0,0.026,0.013
Viennoiserie,croissant,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,028",0,0.028,0.014
Viennoiserie,brioche et pain brioché,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,161",0,0.161,0.0805
Biscuits sucrés ou salés et barres,biscuit apéritif,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,194",0,0.194,0.097
Biscuits sucrés ou salés et barres,biscuit sec au chocolat,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,189",0,0.189,0.0945
Biscuits sucrés ou salés et barres,biscuit sec,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,194",0,0.194,0.097
Pâtisseries et gâteaux,moelleux au chocolat,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,126",0,0.126,0.063
Pâtisseries et gâteaux,"chou, chouquette",N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,107",0,0.107,0.0535
Pâtisseries et gâteaux,crêpe sucrée,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,091",0,0.091,0.0455
Pâtisseries et gâteaux,crêpe ou gaufre,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,029",0,0.029,0.0145
Pâtisseries et gâteaux,gâteau,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,147",0,0.147,0.0735
Pâtisseries et gâteaux,tarte ou tartelette,N,2008,99,2,ng/g,Perfluorés,PFOS,"<0,104",0,0.104,0.052
Lait,lait demi-écrémé,R,2007,1,1,ng/g,Perfluorés,PFOS,"<0,047",0,0.047,0.0235
Lait,lait demi-écrémé,R,2007,34,1,ng/g,Perfluorés,PFOS,"<0,048",0,0.048,0.024
Lait,lait demi-écrémé,R,2007,7,1,ng/g,Perfluorés,PFOS,"<0,048",0,0.048,0.024
Lait,lait demi-écrémé,R,2008,2,1,ng/g,Perfluorés,PFOS,"<0,048",0,0.048,0.024
Lait,lait demi-écrémé,R,2008,9,1,ng/g,Perfluorés,PFOS,"<0,187",0,0.187,0.0935
Lait,lait demi-écrémé,R,2009,5,2,ng/g,Perfluorés,PFOS,"<0,076",0,0.076,0.038
Lait,lait demi-écrémé,R,2008,2,2,ng/g,Perfluorés,PFOS,"<0,076",0,0.076,0.038
Lait,lait demi-écrémé,R,2008,9,2,ng/g,Perfluorés,PFOS,"<0,019",0,0.019,0.0095
